code,pop_name,pop_total,pop_65,aging_rate,inflow,outflow,net_migration,net_migration_rate_per1000,hospital_dist_km,hospital_p50_km,hospital_p90_km,hospital_mean_km
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5459819165211538,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3181260434418266,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2867900435935607,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5667846858035572,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.8392844355741764,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2628556443634987,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.8864145569509907,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,1.362842095394616,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5635700471488093,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5478295240704674,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5413454137772615,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5253961749931263,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5051776807699103,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.5196865052253716,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3980290246918476,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3933327319242142,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.1358378850137261,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.1512072263125433,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2772210951245847,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2905774069922376,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.4951138257768616,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.4673227939221822,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3120949840257964,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3622276177962815,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3105548659016858,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.336946825161158,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3688076622871235,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3926197564810945,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3563206712102246,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3804765671044909,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.3847117312632526,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2563299858074219,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,0.2668652687350611,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,1.152681367618148,2.4465357157591545,5.718576197338776,2.7835873010766217
30201,和歌山市,356729,109950,0.3082171620473805,6877,7534,-657,-1.841734201592805,1.0926386044414491,2.4465357157591545,5.718576197338776,2.7835873010766217
