KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
50354428,0,,,5,5,0,0,0,0,5,5,0,5,5,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50354433,2,50354443,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354434,2,50354445,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354437,2,50354427,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354443,1,,50354433,23,11,12,0,0,0,26,12,14,8,5,3,26,12,14,26,12,14,18,7,11,7,1,6,5,1,4,0,0,0,0,0,0,13,13,7,6,1,1,0,0,0,8,7,1,0,13,0,7,4
50354445,1,,50354434;50354455,67,24,43,8,4,4,66,22,44,12,6,6,64,20,44,64,20,44,54,16,38,46,13,33,24,8,16,2,1,1,1,0,1,34,32,24,14,0,1,0,0,0,15,15,0,1,34,0,22,9
50354448,2,50354427,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354455,2,50354445,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354458,2,50354427,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354459,2,50354427,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354460,0,,,25,13,12,2,2,0,23,11,12,13,8,5,23,11,12,23,11,12,10,3,7,4,0,4,1,0,1,0,0,0,0,0,0,10,10,3,2,3,1,1,0,0,7,6,1,0,8,0,3,1
50354470,0,,,9,5,4,0,0,0,9,5,4,7,4,3,8,4,4,7,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,1,0,0,0,3,3,0,0,1,0,0,1
50354471,1,,50354472,18,11,7,0,0,0,21,13,8,9,7,2,21,13,8,21,13,8,12,6,6,10,5,5,3,2,1,0,0,0,0,0,0,9,9,7,3,1,0,1,0,0,5,3,2,0,11,0,6,1
50354472,2,50354471,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354480,1,,50354481,97,49,48,23,12,11,75,38,37,54,26,28,71,36,35,65,31,34,21,12,9,11,6,5,4,2,2,1,0,1,0,0,0,39,39,13,10,8,5,3,1,0,27,24,3,6,16,0,5,4
50354481,2,50354480,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354485,0,,,17,6,11,3,0,3,14,6,8,9,4,5,14,6,8,14,6,8,5,2,3,2,1,1,1,0,1,0,0,0,0,0,0,6,6,1,3,0,1,0,1,0,5,3,2,1,4,0,1,0
50354486,0,,,53,28,25,2,0,2,51,28,23,15,9,6,51,28,23,51,28,23,36,19,17,22,10,12,12,4,8,2,0,2,0,0,0,28,27,16,7,2,2,0,0,0,11,8,3,0,20,0,11,3
50354490,0,,,26,12,14,2,1,1,24,11,13,10,5,5,22,10,12,22,10,12,14,6,8,8,3,5,3,2,1,0,0,0,0,0,0,11,11,3,5,1,0,2,0,0,8,8,0,0,9,0,3,4
50354494,2,50354495,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354495,1,,50354494,65,34,31,16,10,6,56,28,28,48,23,25,49,25,24,46,24,22,8,5,3,3,1,2,0,0,0,0,0,0,0,0,0,23,23,6,5,5,5,3,1,0,19,18,1,3,7,0,5,1
50354496,0,,,27,12,15,6,2,4,21,10,11,15,7,8,19,9,10,18,9,9,6,3,3,1,0,1,0,0,0,0,0,0,0,0,0,11,11,4,2,2,2,1,0,0,7,7,0,1,5,0,3,1
50354497,0,,,44,21,23,0,0,0,44,21,23,12,4,8,43,21,22,42,20,22,32,17,15,14,8,6,3,1,2,0,0,0,0,0,0,26,26,10,14,2,0,0,0,0,16,16,0,0,23,0,9,7
50354498,1,,50354499,36,18,18,1,1,0,43,20,23,11,6,5,43,20,23,43,20,23,32,14,18,24,10,14,14,7,7,2,1,1,0,0,0,23,23,15,7,1,3,0,0,0,11,9,2,0,25,0,14,4
50354499,2,50354498,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354507,2,50354541,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354540,2,50354541,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354541,1,,50354507;50354540;50354551,69,51,18,0,0,0,88,57,31,64,49,15,88,57,31,88,57,31,24,8,16,14,3,11,7,1,6,0,0,0,0,0,0,10,3,9,6,1,0,0,0,0,7,7,0,0,13,0,7,3
50354551,2,50354541,,3,0,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354605,2,50354617,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354607,0,,,39,18,21,6,2,4,33,16,17,13,4,9,32,16,16,31,16,15,20,12,8,6,2,4,2,1,1,1,0,1,0,0,0,19,19,9,4,3,2,1,0,0,10,9,1,1,14,0,7,4
50354608,0,,,25,17,8,5,4,1,20,13,7,13,8,5,20,13,7,20,13,7,7,5,2,4,2,2,2,1,1,1,0,1,0,0,0,10,10,3,3,1,2,1,0,0,7,6,1,2,5,1,2,0
50354615,2,50354617,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354617,1,,50354605;50354615;50354635,23,12,11,1,0,1,28,14,14,13,6,7,28,14,14,27,14,13,15,8,7,9,5,4,1,0,1,0,0,0,0,0,0,14,14,7,8,2,0,0,0,0,10,10,0,1,10,0,3,6
50354618,1,,50354619;50354645;50354655,58,30,28,12,6,6,55,27,28,30,17,13,55,27,28,55,27,28,25,10,15,15,5,10,7,3,4,1,0,1,1,1,0,31,31,21,12,1,2,1,1,0,16,16,0,2,20,0,13,5
50354619,2,50354618,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354635,2,50354617,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354645,2,50354618,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354655,2,50354618,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354675,2,50354698,,2,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354676,2,50354698,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354685,2,50354698,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354692,2,50354697,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354697,1,,50354692,13,6,7,0,0,0,16,8,8,7,4,3,16,8,8,16,8,8,9,4,5,5,1,4,2,0,2,0,0,0,0,0,0,9,9,5,4,1,0,0,0,0,5,5,0,0,7,0,4,2
50354698,1,,50354675;50354676;50354685,35,14,21,4,3,1,35,14,21,12,6,6,35,14,21,35,14,21,23,8,15,16,5,11,6,0,6,1,0,1,0,0,0,16,16,7,7,2,3,0,0,0,12,10,2,2,14,0,5,2
50354701,0,,,105,53,52,10,5,5,95,48,47,40,21,19,94,48,46,94,48,46,55,27,28,30,14,16,11,5,6,1,0,1,0,0,0,49,49,15,19,8,7,0,0,0,34,30,4,5,33,4,7,13
50354702,0,,,259,122,137,24,15,9,235,107,128,120,55,65,230,105,125,228,105,123,115,52,63,53,20,33,19,6,13,0,0,0,1,0,1,120,120,40,43,21,10,6,0,0,79,74,5,5,78,0,30,23
50354705,0,,,34,15,19,8,4,4,26,11,15,14,7,7,26,11,15,26,11,15,12,4,8,8,1,7,2,0,2,0,0,0,0,0,0,13,13,3,5,1,3,0,1,0,10,10,0,2,9,0,3,1
50354706,0,,,28,12,16,2,2,0,26,10,16,10,3,7,26,10,16,26,10,16,16,7,9,7,2,5,4,1,3,0,0,0,0,0,0,15,15,6,6,2,1,0,0,0,9,9,0,1,12,1,4,2
50354707,0,,,10,5,5,0,0,0,10,5,5,5,3,2,10,5,5,10,5,5,5,2,3,2,0,2,1,0,1,0,0,0,0,0,0,4,4,1,2,0,0,1,0,0,3,2,1,0,4,0,1,2
50354715,0,,,14,7,7,0,0,0,14,7,7,2,1,1,14,7,7,14,7,7,12,6,6,4,2,2,2,0,2,0,0,0,0,0,0,9,9,4,5,0,0,0,0,0,5,4,1,0,8,0,4,3
50354716,0,,,115,47,68,10,3,7,104,43,61,38,18,20,99,41,58,98,41,57,66,25,41,44,16,28,22,6,16,2,0,2,0,0,0,41,40,9,20,5,4,2,0,0,31,31,0,3,26,0,7,12
50354717,0,,,2033,960,1073,278,138,140,1697,787,910,1152,556,596,1630,754,876,1601,742,859,545,231,314,230,90,140,76,22,54,4,1,3,3,2,1,911,911,299,309,163,92,33,11,4,601,564,37,76,379,27,134,126
50354718,0,,,230,109,121,36,18,18,184,85,99,114,53,61,180,83,97,177,82,95,70,32,38,34,12,22,13,4,9,2,1,1,1,0,1,111,111,38,45,13,12,3,0,0,71,68,3,12,51,1,21,21
50354725,2,50354726,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354726,1,,50354725,387,154,233,47,23,24,338,131,207,168,91,77,328,126,202,325,126,199,170,40,130,131,24,107,95,13,82,25,3,22,0,0,0,109,107,38,34,17,15,4,2,0,70,66,4,12,40,3,17,12
50354727,0,,,2221,1013,1208,272,123,149,1864,847,1017,1185,558,627,1801,819,982,1777,808,969,679,289,390,354,135,219,131,33,98,17,1,16,11,5,6,953,949,288,350,171,100,33,7,0,648,613,35,76,383,27,99,157
50354728,1,,50354737,2708,1246,1462,272,135,137,2392,1088,1304,1366,637,729,2322,1053,1269,2301,1044,1257,1026,451,575,503,198,305,142,47,95,8,3,5,12,3,9,1290,1287,476,479,206,87,31,5,4,800,751,49,73,700,13,283,214
50354729,0,,,25,12,13,0,0,0,25,12,13,12,6,6,25,12,13,24,11,13,13,6,7,5,2,3,2,0,2,0,0,0,0,0,0,12,12,4,3,5,0,0,0,0,8,7,1,0,10,0,3,1
50354737,2,50354728,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354738,1,,50354739,208,50,158,3,2,1,214,52,162,35,14,21,212,52,160,211,52,159,179,38,141,160,30,130,98,11,87,22,3,19,0,0,0,44,42,22,19,4,2,1,0,0,26,25,1,2,33,0,17,9
50354739,2,50354738,,9,4,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354748,0,,,122,57,65,13,5,8,108,51,57,48,25,23,105,49,56,105,49,56,60,26,34,30,10,20,4,0,4,0,0,0,0,0,0,59,59,19,27,5,6,2,0,0,40,40,0,2,40,0,15,20
50354749,0,,,385,188,197,46,22,24,335,164,171,201,108,93,322,161,161,319,160,159,134,56,78,77,30,47,42,14,28,7,3,4,0,0,0,197,197,93,55,22,20,6,1,0,102,96,6,10,98,6,47,24
50354753,2,50354772,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354758,0,,,1450,693,757,205,109,96,1204,560,644,840,404,436,1177,550,627,1158,541,617,364,156,208,177,69,108,60,15,45,3,0,3,5,2,3,689,688,249,246,112,53,21,5,2,420,400,20,80,250,32,87,86
50354759,0,,,2286,1098,1188,297,149,148,1894,891,1003,1212,590,622,1787,819,968,1743,788,955,682,301,381,356,155,201,83,29,54,4,0,4,14,6,8,1049,1042,394,357,141,105,35,8,2,632,585,47,83,480,29,181,162
50354762,1,,50354763,9,4,5,0,0,0,12,6,6,1,1,0,12,6,6,12,6,6,11,5,6,10,4,6,5,3,2,1,0,1,0,0,0,5,5,3,3,1,0,0,0,0,4,4,0,0,7,0,3,3
50354763,2,50354762,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354767,1,,50354785,19,10,9,0,0,0,24,12,12,8,7,1,24,12,12,24,12,12,16,5,11,9,3,6,5,2,3,0,0,0,0,0,0,11,11,6,4,2,1,0,0,0,7,6,1,0,10,0,5,2
50354768,0,,,1911,891,1020,166,99,67,1665,747,918,934,439,495,1615,721,894,1601,716,885,731,308,423,383,147,236,113,36,77,12,3,9,17,7,10,965,963,389,339,137,69,22,5,2,558,529,29,46,518,12,218,153
50354769,0,,,4800,2255,2545,522,288,234,4066,1827,2239,2374,1147,1227,3931,1755,2176,3877,1724,2153,1692,680,1012,937,339,598,322,116,206,31,6,25,34,14,20,2427,2422,1084,753,322,188,57,12,6,1314,1236,78,128,1176,50,504,344
50354772,1,,50354753;50354794,161,67,94,14,7,7,152,62,90,62,27,35,149,62,87,148,61,87,90,35,55,53,22,31,25,10,15,1,0,1,0,0,0,63,62,23,27,9,5,0,0,0,41,37,4,1,43,0,20,13
50354778,0,,,1432,639,793,132,70,62,1260,544,716,612,300,312,1238,534,704,1226,526,700,648,244,404,364,134,230,129,35,94,13,2,11,10,3,7,733,731,306,267,86,50,16,4,2,418,379,39,29,463,6,198,135
50354779,0,,,2670,1204,1466,230,130,100,2345,1011,1334,1183,557,626,2292,984,1308,2270,975,1295,1162,454,708,683,233,450,293,74,219,41,7,34,23,9,14,1388,1379,651,441,167,86,29,4,1,713,656,57,64,782,15,379,218
50354782,0,,,9,4,5,0,0,0,9,4,5,4,3,1,9,4,5,9,4,5,5,1,4,2,0,2,2,0,2,0,0,0,0,0,0,6,6,3,3,0,0,0,0,0,3,3,0,0,4,0,2,1
50354785,2,50354767,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50354788,0,,,321,151,170,22,9,13,287,134,153,144,77,67,280,129,151,278,128,150,143,57,86,76,24,52,19,4,15,2,0,2,1,0,1,194,194,109,62,11,6,5,1,0,83,80,3,5,108,11,57,22
50354792,0,,,28,14,14,9,6,3,19,8,11,16,8,8,19,8,11,19,8,11,3,0,3,2,0,2,2,0,2,0,0,0,1,0,1,12,12,5,1,3,3,0,0,0,6,6,0,2,3,0,2,0
50354794,2,50354772,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50355138,0,,,30,15,15,0,0,0,30,15,15,17,10,7,30,15,15,30,15,15,13,5,8,9,3,6,5,2,3,0,0,0,0,0,0,11,11,2,3,2,4,0,0,0,9,5,4,0,8,0,1,1
50355139,2,50355149,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50355148,0,,,175,88,87,23,11,12,152,77,75,96,49,47,144,73,71,141,71,70,56,28,28,29,14,15,10,5,5,0,0,0,0,0,0,51,51,2,18,10,9,4,6,2,49,32,17,2,33,0,1,8
50355149,1,,50355139,12,5,7,0,0,0,18,8,10,8,2,6,18,8,10,18,8,10,10,6,4,3,1,2,1,0,1,0,0,0,2,0,2,8,8,5,5,1,0,0,0,0,6,6,0,0,8,0,3,2
50355158,0,,,19,7,12,0,0,0,19,7,12,13,6,7,19,7,12,19,7,12,6,1,5,4,1,3,2,0,2,0,0,0,0,0,0,8,8,3,1,2,2,0,0,0,5,3,2,0,5,0,2,1
50355159,0,,,335,156,179,39,23,16,296,133,163,164,73,91,284,128,156,282,126,156,132,60,72,68,28,40,25,10,15,1,0,1,6,1,5,138,138,32,58,23,13,8,2,2,104,82,22,9,87,1,17,33
50355167,0,,,60,22,38,10,4,6,50,18,32,27,10,17,49,18,31,48,18,30,23,8,15,7,1,6,2,0,2,0,0,0,0,0,0,25,25,8,9,1,5,1,1,0,17,14,3,2,18,0,6,5
50355168,0,,,560,270,290,62,26,36,498,244,254,292,147,145,480,234,246,473,229,244,206,97,109,101,41,60,45,20,25,6,2,4,0,0,0,218,218,54,71,45,26,13,4,5,158,121,37,15,141,0,38,34
50355169,0,,,326,161,165,34,22,12,292,139,153,172,85,87,282,135,147,274,131,143,120,54,66,55,19,36,19,7,12,2,1,1,2,0,2,132,132,30,50,28,12,10,1,1,102,90,12,6,84,0,25,28
50355176,0,,,307,142,165,42,21,21,265,121,144,159,78,81,253,114,139,248,114,134,106,43,63,48,17,31,17,5,12,1,1,0,0,0,0,96,96,19,23,16,18,7,7,6,77,44,33,7,75,0,15,13
50355177,0,,,1590,752,838,220,108,112,1363,637,726,833,407,426,1316,617,699,1294,606,688,530,230,300,276,112,164,72,27,45,6,2,4,8,5,3,644,644,189,184,112,113,34,9,3,453,383,70,63,360,11,122,100
50355178,0,,,73,40,33,19,11,8,54,29,25,38,19,19,50,27,23,50,27,23,16,10,6,3,2,1,0,0,0,0,0,0,0,0,0,26,26,5,8,3,7,3,0,0,20,19,1,5,11,0,4,5
50355179,0,,,24,13,11,2,1,1,22,12,10,13,7,6,22,12,10,22,12,10,9,5,4,2,2,0,0,0,0,0,0,0,0,0,0,10,10,2,4,2,2,0,0,0,8,8,0,0,5,0,0,3
50355184,0,,,41,26,15,8,5,3,33,21,12,23,14,9,32,20,12,32,20,12,10,7,3,8,5,3,2,1,1,0,0,0,0,0,0,10,10,2,1,0,1,3,3,0,8,2,6,1,8,0,1,0
50355185,0,,,421,198,223,30,16,14,391,182,209,223,114,109,384,179,205,377,175,202,168,68,100,98,33,65,40,14,26,3,0,3,22,1,21,175,175,57,51,36,15,7,5,4,118,78,40,4,121,10,31,21
50355186,1,,50355196,52,25,27,15,7,8,42,21,21,27,14,13,40,21,19,37,19,18,15,7,8,6,4,2,1,0,1,0,0,0,9,7,2,15,15,5,5,2,2,1,0,2,12,8,4,2,9,3,2,3
50355187,0,,,557,246,311,88,51,37,469,195,274,283,140,143,453,183,270,445,178,267,186,55,131,133,30,103,85,14,71,17,2,15,0,0,0,172,169,26,52,44,34,10,2,1,141,129,12,32,66,2,14,23
50355188,0,,,23,14,9,5,3,2,18,11,7,16,9,7,16,9,7,15,9,6,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,7,7,1,1,2,1,2,0,0,6,6,0,0,2,0,1,0
50355194,0,,,854,409,445,60,36,24,794,373,421,442,249,193,630,261,369,578,236,342,352,124,228,254,74,180,157,34,123,22,3,19,0,0,0,188,180,42,59,31,23,16,3,6,138,100,38,13,120,1,31,36
50355195,0,,,45,23,22,3,2,1,42,21,21,30,15,15,41,20,21,39,18,21,12,6,6,5,3,2,4,2,2,0,0,0,0,0,0,14,14,2,3,4,3,0,1,1,12,9,3,1,8,0,2,1
50355196,2,50355186,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
50355197,0,,,219,105,114,26,12,14,193,93,100,122,62,60,184,87,97,180,84,96,71,31,40,40,15,25,14,5,9,0,0,0,0,0,0,80,80,16,25,16,13,8,1,1,64,51,13,4,49,0,13,16
50355198,0,,,102,48,54,15,7,8,87,41,46,63,30,33,85,41,44,83,40,43,24,11,13,19,9,10,5,4,1,0,0,0,0,0,0,40,40,8,14,9,6,3,0,0,32,29,3,6,16,1,4,5
50355205,0,,,21,9,12,4,3,1,17,6,11,8,4,4,17,6,11,17,6,11,9,2,7,5,1,4,2,0,2,0,0,0,0,0,0,9,9,3,3,1,1,1,0,0,6,5,1,1,7,0,3,2
50355206,0,,,707,306,401,113,51,62,590,254,336,404,187,217,561,240,321,546,230,316,186,67,119,128,41,87,65,15,50,12,1,11,2,0,2,246,244,51,83,49,36,19,6,0,190,176,14,36,82,3,20,28
50355208,0,,,490,212,278,56,24,32,432,187,245,270,124,146,416,182,234,408,178,230,162,63,99,81,25,56,24,4,20,0,0,0,1,0,1,196,196,45,68,47,20,12,2,2,150,121,29,16,117,1,27,26
50355209,0,,,397,192,205,63,36,27,331,155,176,219,101,118,314,146,168,308,141,167,112,54,58,44,19,25,18,7,11,2,0,2,0,0,0,162,162,38,63,25,23,12,1,0,122,112,10,17,74,2,15,31
50355215,0,,,339,163,176,31,18,13,308,145,163,189,93,96,298,143,155,296,141,155,119,52,67,71,26,45,33,7,26,2,1,1,2,1,1,154,153,48,59,26,12,8,0,0,105,93,12,8,87,3,33,24
