KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
50351595,0,,,16,7,9,0,0,0,16,7,9,3,2,1,16,7,9,16,7,9,13,5,8,5,1,4,2,1,1,0,0,0,0,0,0,10,10,7,2,0,0,1,0,0,3,2,1,0,10,0,7,2
50351596,0,,,37,19,18,0,0,0,37,19,18,8,6,2,35,18,17,35,18,17,29,13,16,13,5,8,5,2,3,2,0,2,0,0,0,25,25,15,9,0,1,0,0,0,10,8,2,0,22,0,14,4
50351597,0,,,88,46,42,5,4,1,83,42,41,39,23,16,83,42,41,83,42,41,44,19,25,20,9,11,5,2,3,0,0,0,0,0,0,41,41,13,13,12,2,1,0,0,28,26,2,0,30,0,10,5
50351598,0,,,51,18,33,5,2,3,46,16,30,21,7,14,46,16,30,46,16,30,25,9,16,8,2,6,4,0,4,0,0,0,0,0,0,31,31,16,11,3,1,0,0,0,14,14,0,1,19,1,10,4
50351599,0,,,138,59,79,4,2,2,134,57,77,21,12,9,133,57,76,133,57,76,113,45,68,95,35,60,56,19,37,11,1,10,0,0,0,17,16,8,5,1,1,0,0,1,8,7,1,1,11,0,5,4
50351620,0,,,398,186,212,97,47,50,300,139,161,206,95,111,283,133,150,281,131,150,94,44,50,45,20,25,16,7,9,1,0,1,2,1,1,147,147,31,49,21,27,16,3,0,116,109,7,24,62,1,15,28
50351621,0,,,18,7,11,0,0,0,18,7,11,10,5,5,18,7,11,18,7,11,8,2,6,4,1,3,2,0,2,0,0,0,0,0,0,9,9,2,5,2,0,0,0,0,7,7,0,0,6,0,2,1
50351630,0,,,1119,555,564,136,84,52,979,468,511,562,272,290,950,456,494,936,451,485,417,196,221,204,92,112,59,24,35,4,2,2,1,0,1,508,508,175,170,84,51,21,6,1,330,304,26,29,286,17,103,102
50351631,0,,,185,93,92,15,10,5,170,83,87,71,35,36,166,81,85,164,79,85,99,48,51,45,19,26,11,2,9,1,0,1,0,0,0,93,93,36,35,13,6,2,1,0,57,51,6,7,66,0,24,23
50351632,0,,,286,133,153,40,18,22,246,115,131,142,72,70,237,110,127,234,109,125,104,43,61,49,19,30,15,3,12,2,0,2,0,0,0,126,126,36,54,12,16,6,2,0,89,82,7,9,73,0,21,27
50351633,0,,,166,76,90,25,13,12,141,63,78,83,41,42,137,60,77,136,60,76,58,22,36,25,9,16,9,1,8,0,0,0,0,0,0,71,71,17,28,15,7,4,0,0,53,45,8,7,41,0,13,12
50351640,0,,,335,153,182,34,17,17,300,135,165,165,75,90,292,130,162,291,129,162,135,60,75,69,27,42,27,7,20,2,0,2,0,0,0,159,159,50,62,32,10,5,0,0,109,102,7,7,94,0,36,30
50351641,0,,,636,304,332,52,22,30,582,280,302,293,153,140,571,272,299,568,271,297,289,127,162,141,59,82,39,14,25,3,0,3,0,0,0,272,270,107,98,43,19,3,0,0,162,154,8,18,145,6,60,49
50351642,0,,,148,60,88,7,1,6,141,59,82,50,25,25,140,58,82,138,58,80,91,34,57,53,13,40,27,4,23,5,0,5,2,0,2,70,68,26,27,13,2,0,0,0,41,36,5,3,50,0,24,12
50351643,0,,,195,83,112,11,7,4,184,76,108,75,33,42,184,76,108,182,76,106,109,43,66,61,21,40,24,6,18,3,1,2,0,0,0,105,105,49,36,11,5,3,1,0,55,48,7,3,75,3,34,20
50351645,0,,,15,7,8,3,1,2,12,6,6,9,6,3,12,6,6,12,6,6,3,0,3,2,0,2,2,0,2,0,0,0,0,0,0,7,7,3,1,2,1,0,0,0,4,4,0,0,3,0,2,0
50351646,0,,,123,59,64,13,9,4,110,50,60,53,29,24,109,49,60,108,49,59,57,21,36,35,10,25,18,6,12,1,0,1,0,0,0,60,60,28,14,9,6,2,1,0,31,24,7,3,41,0,22,8
