"統計名：","時系列データ 男女，年齢，配偶関係"
"表番号：","6-2020"
"表題：","年齢（3区分），男女別人口及び年齢別割合 － 都道府県，市区町村（令和2年）　北海道　～　沖縄県"
"実施年月：","2020年","-"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","/表章項目 コード","020","020","020","020","020","020","020","020","020","020","020","020","105","105","105","105","105","105","105","105","105"
"","","","","","","/表章項目 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","/表章項目","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","割合【%】","割合【%】","割合【%】","割合【%】","割合【%】","割合【%】","割合【%】","割合【%】","割合【%】"
"","","","","","","/男女_時系列 コード","100","100","100","100","110","110","110","110","120","120","120","120","100","100","100","110","110","110","120","120","120"
"","","","","","","/男女_時系列 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","/男女_時系列","総数","総数","総数","総数","男","男","男","男","女","女","女","女","総数","総数","総数","男","男","男","女","女","女"
"","","","","","","/年齢３区分_時系列 コード","100","110","120","130","100","110","120","130","100","110","120","130","110","120","130","110","120","130","110","120","130"
"","","","","","","/年齢３区分_時系列 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（調査年） コード","時間軸（調査年） 補助コード","時間軸（調査年）","全国，都道府県，市区町村 コード","全国，都道府県，市区町村 補助コード","全国，都道府県，市区町村","/年齢３区分_時系列","総数","15歳未満","15～64歳","65歳以上","総数","15歳未満","15～64歳","65歳以上","総数","15歳未満","15～64歳","65歳以上","15歳未満","15～64歳","65歳以上","15歳未満","15～64歳","65歳以上","15歳未満","15～64歳","65歳以上"
"2020000000","","2020年","30366","","有田川町","","25,258","3,273","13,621","8,325","11,953","1,665","6,713","3,547","13,305","1,608","6,908","4,778","12.97831","54.01086","33.01083","13.96226","56.2935","29.74423","12.09568","51.96329","35.94103"
"2020000000","","2020年","30381","","美浜町","","6,867","690","3,590","2,566","3,217","343","1,800","1,059","3,650","347","1,790","1,507","10.07888","52.43938","37.48174","10.71205","56.21487","33.07308","9.5225","49.12184","41.35565"
"2020000000","","2020年","30382","","日高町","","7,673","1,197","4,135","2,317","3,657","641","2,019","983","4,016","556","2,116","1,334","15.6491","54.05935","30.29154","17.59539","55.42136","26.98326","13.87918","52.82077","33.30005"
"2020000000","","2020年","30383","","由良町","","5,364","500","2,724","2,088","2,685","265","1,474","901","2,679","235","1,250","1,187","9.41265","51.28012","39.30723","10.03788","55.83333","34.12879","8.79491","46.78144","44.42365"
"2020000000","","2020年","30390","","印南町","","7,720","942","3,910","2,855","3,660","477","1,922","1,248","4,060","465","1,988","1,607","12.22265","50.7331","37.04425","13.07924","52.70085","34.21991","11.4532","48.96552","39.58128"
"2020000000","","2020年","30391","","みなべ町","","11,818","1,427","6,413","3,929","5,608","728","3,154","1,694","6,210","699","3,259","2,235","12.12507","54.49061","33.38431","13.05595","56.56385","30.3802","11.28694","52.62393","36.08913"
"2020000000","","2020年","30392","","日高川町","","9,219","1,093","4,737","3,388","4,449","565","2,475","1,409","4,770","528","2,262","1,979","11.85724","51.38859","36.75418","12.69948","55.63048","31.67004","11.0715","47.43133","41.49717"
"2020000000","","2020年","30401","","白浜町","","20,262","1,940","10,121","8,017","9,440","973","5,031","3,321","10,822","967","5,090","4,696","9.66232","50.40841","39.92928","10.43432","53.95174","35.61394","8.99284","47.33563","43.67153"
"2020000000","","2020年","30404","","上富田町","","15,236","2,148","8,838","4,112","7,246","1,123","4,302","1,756","7,990","1,025","4,536","2,356","14.22705","58.53755","27.2354","15.63849","59.90809","24.45342","12.94682","57.29443","29.75875"
"2020000000","","2020年","30406","","すさみ町","","3,685","301","1,568","1,795","1,747","167","830","737","1,938","134","738","1,058","8.21507","42.79476","48.99017","9.63091","47.86621","42.50288","6.94301","38.23834","54.81865"
"2020000000","","2020年","30421","","那智勝浦町","","14,137","1,351","6,556","6,200","6,531","698","3,251","2,561","7,606","653","3,305","3,639","9.57681","46.47338","43.94981","10.72197","49.93856","39.33948","8.5955","43.50401","47.90049"
"2020000000","","2020年","30422","","太地町","","2,791","202","1,335","1,251","1,229","101","624","503","1,562","101","711","748","7.24534","47.88379","44.87088","8.22476","50.81433","40.96091","6.47436","45.57692","47.94872"
"2020000000","","2020年","30424","","古座川町","","2,480","184","926","1,370","1,130","106","482","542","1,350","78","444","828","7.41935","37.33871","55.24194","9.38053","42.65487","47.9646","5.77778","32.88889","61.33333"
"2020000000","","2020年","30427","","北山村","","404","40","182","182","183","14","103","66","221","26","79","116","9.90099","45.0495","45.0495","7.65027","56.28415","36.06557","11.76471","35.74661","52.48869"
"2020000000","","2020年","30428","","串本町","","14,959","1,238","6,677","6,930","7,140","663","3,446","2,953","7,819","575","3,231","3,977","8.33951","44.97811","46.68238","9.38828","48.79637","41.81535","7.3879","41.51356","51.09855"
